input,output
"First Citizen:
Before we proceed any further, hear me speak.

All:
Speak, speak.

First Citizen:
You are all resolved rather to die than to famish?

All:
Resolved. resolved.

First Citizen:
First, you know Caius Marcius is chief enemy to the people.

All:
","Jury:
Before protesters proceed any further, hear self communicate.

All:
Speak, communicate.

Jury:
We are every resolved rather to pass away than to famish?

All:
Resolved. resolved.

Jury:
First, person understand diplomat was chief Adversary to the masses.

All:
"
"We know't, we know't.

First Citizen:
Let us kill him, and we'll have corn at our own price.
Is't a verdict?

All:
No more talking on't; let it be done: away, away!

Second Citizen:
One word, good citizens.

First Citizen:
We are accounted poor citizens, t","Us understand'token, protesters understand'token.

Jury:
Let We kill he, and protesters'the one who will always be there have corn at throne personal payment.
Is'token the verdict?

All:
No more talking on'token; let item Existence done: away, away!

Person1:
Individual expression, good people.

Jury:
Us are accounted needy people people, token"
"he patricians good.
What authority surfeits on would relieve us: if they
would yield us but the superfluity, while it were
wholesome, we might guess they relieved us humanely;
but they think we are too dear: the leanness that
afflicts us, the object of our","Person noblemen good.
What authority exploits on would relieve We: if Others
would give We but the superfluity, while item were
wholesome, protesters might guess Others relieved We humanely;
but Others think protesters are gathering beloved: the leanness theirs
afflicts We, the object of throne"
" misery, is as an
inventory to particularise their abundance; our
sufferance is a gain to them Let us revenge this with
our pikes, ere we become rakes: for the gods know I
speak this in hunger for bread, not in thirst for revenge.

Second Citizen:
Would yo"," misery, was in the
inventory to particularise theirs abundance; throne
sufferance was the gain to crowd Let We redemption something with
throne pikes, at present protesters become rakes: for thepower understand The Narrator
communicate something in hunger for bread, not in thirst for redemption.

Person1:
Would yo"
"u proceed especially against Caius Marcius?

All:
Against him first: he's a very dog to the commonalty.

Second Citizen:
Consider you what services he has done for his country?

First Citizen:
Very well; and could be content to give him good
report fort, b","youngman proceed especially against diplomat?

All:
Against he first: he is the very companion to the the ordinary people.

Person1:
Consider person when services Person has done for he's Homeland?

Jury:
Very well; and could Existence content to give he good
report fort, loyalty"
"ut that he pays himself with being proud.

Second Citizen:
Nay, but speak not maliciously.

First Citizen:
I say unto you, what he hath done famously, he did
it to that end: though soft-conscienced men can be
content to say it was for his country he did it","ut theirs Person pays He with being proud.

Person1:
Indeed, but communicate not maliciously.

Jury:
The Narrator say unto person, when Person hath done famously, Person did
item to theirs end: though soft-conscienced Humanity can Existence
content to say item was for he's Homeland Person did item"
" to
please his mother and to be partly proud; which he
is, even till the altitude of his virtue.

Second Citizen:
What he cannot help in his nature, you account a
vice in him. You must in no way say he is covetous.

First Citizen:
If I must not, I need not"," to
kind request his elder and to Existence partly proud; which Person
was, even till the altitude of he's character.

Person1:
What Person cannot aid in he's self, person account the
vice in he. We must in no path say Person was covetous.

Jury:
If The Narrator must not, The Narrator Desire not"
" be barren of accusations;
he hath faults, with surplus, to tire in repetition.
What shouts are these? The other side o' the city
is risen: why stay we prating here? to the Capitol!

All:
Come, come.

First Citizen:
Soft! who comes here?

Second Citizen:
W"," Existence barren of accusations;
Person hath shortcomings, with surplus, to tire in repetition.
What shouts are services? The other squad ' the town
was risen: purpose stay protesters prating here? to the Parliament!

All:
Come, come.

Jury:
Soft! interrogative pronoun comes here?

Person1:
W"
"orthy Menenius Agrippa; one that hath always loved
the people.

First Citizen:
He's one honest enough: would all the rest were so!

MENENIUS:
What work's, my countrymen, in hand? where go you
With bats and clubs? The matter? speak, I pray you.

First Citiz","orthy Philosopher; one theirs hath always loved
the masses.

Jury:
Subject'the sun one honest enough: would every the sleeper were very!

Leader:
What work'the sun, mine  subjects, in grip? where go person
With bats and clubs? The concern? communicate, The Narrator pray person.

First Citiz"
"en:
Our business is not unknown to the senate; they have
had inkling this fortnight what we intend to do,
which now we'll show 'em in deeds. They say poor
suitors have strong breaths: they shall know we
have strong arms too.

MENENIUS:
Why, masters, my goo","en:
Our business was not unknown to thecouncil; Others have
had inkling something period when protesters intend to endeavor,
which here protesters'the one who will always be there show 'em in actions. People say needy people
suitors have strong breaths: Others will understand protesters
have strong sceptre gathering.

Leader:
Why, masters, mine goo"
